Country Name,Country Code,Region
St. Kitts and Nevis,KNA,North and Central America
St. Lucia,LCA,North and Central America
St. Martin (French part),MAF,North and Central America
St. Vincent and the Grenadines,VCT,North and Central America
Sudan,SDN,MENA
Suriname,SUR,South America
Eswatini,SWZ,Africa
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syrian Arab Republic,SYR,MENA
Tajikistan,TJK,CIS
Tanzania,TZA,Africa
Thailand,THA,Southeast Asia
Timor-Leste,TLS,Southeast Asia
Togo,TGO,Africa
Tonga,TON,Oceania
Trinidad and Tobago,TTO,North and Central America
Tunisia,TUN,MENA
Turkey,TUR,MENA
Turkmenistan,TKM,CIS
Turks and Caicos Islands,TCA,North and Central America
Tuvalu,TUV,Oceania
Uganda,UGA,Africa
Ukraine,UKR,CIS
United Arab Emirates,ARE,MENA
United Kingdom,GBR,Europe
United States,USA,North and Central America
Uruguay,URY,South America
Uzbekistan,UZB,CIS
Vanuatu,VUT,Oceania
"Venezuela, RB",VEN,South America
Vietnam,VNM,Southeast Asia
Virgin Islands (U.S.),VIR,Oceania
West Bank and Gaza,PSE,MENA
"Yemen, Rep.",YEM,MENA
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
