Country Name,Country Code,gdp
Montenegro,MNE,7784.06529
Morocco,MAR,3036.171062
Mozambique,MOZ,441.6178369
Myanmar,MMR,1249.828757
Namibia,NAM,5646.456007
Nauru,NRU,8844.41715
Nepal,NPL,900.5739036
Netherlands,NLD,48554.99228
New Caledonia,NCL,0
New Zealand,NZL,42260.12518
Nicaragua,NIC,2168.19124
Niger,NER,375.8694897
Nigeria,NGA,1968.559588
Northern Mariana Islands,MNP,28163.78487
Norway,NOR,75704.2487
Oman,OMN,15170.35174
Pakistan,PAK,1466.843096
Palau,PLW,16274.90454
Panama,PAN,15166.12443
Papua New Guinea,PNG,2640.153572
Paraguay,PRY,5680.580768
Peru,PER,6700.81138
Philippines,PHL,2981.934151
Poland,POL,13861.05156
Portugal,PRT,21291.43099
Puerto Rico,PRI,31353.43418
Qatar,QAT,61264.39648
Romania,ROU,10792.95628
Russian Federation,RUS,10750.58712
Rwanda,RWA,762.4991636
Samoa,WSM,4307.805464
San Marino,SMR,48494.55141
Sao Tome and Principe,STP,1811.009633
Saudi Arabia,SAU,20803.74257
Senegal,SEN,1367.218948
Serbia,SRB,6284.192672
Seychelles,SYC,15683.6565
Sierra Leone,SLE,499.3807078
Singapore,SGP,60297.79378
Sint Maarten (Dutch part),SXM,0
Slovak Republic,SVK,17579.2594
Slovenia,SVN,23449.57452
Solomon Islands,SLB,2077.126038
Somalia,SOM,309.066059
South Africa,ZAF,6127.462297
South Sudan,SSD,0
Spain,ESP,28208.26105
Sri Lanka,LKA,4104.630983
St. Kitts and Nevis,KNA,19060.57072
St. Lucia,LCA,10003.25987
St. Martin (French part),MAF,0
St. Vincent and the Grenadines,VCT,7149.630866
Sudan,SDN,3015.02443
Suriname,SUR,5379.119415
Eswatini,SWZ,3941.900457
Sweden,SWE,53253.47664
Switzerland,CHE,80333.44494
Syrian Arab Republic,SYR,0
Tajikistan,TJK,806.0415731
Tanzania,TZA,1004.841121
Thailand,THA,6578.188865
Timor-Leste,TLS,2000.601191
Togo,TGO,619.066371
Tonga,TON,4217.476507
Trinidad and Tobago,TTO,16076.08204
Tunisia,TUN,3494.318864
Turkey,TUR,10499.74557
Turkmenistan,TKM,6587.090316
Turks and Caicos Islands,TCA,25933.60744
Tuvalu,TUV,3572.608367
Uganda,UGA,631.5227198
Ukraine,UKR,2640.675677
United Arab Emirates,ARE,40325.382
United Kingdom,GBR,39932.06029
United States,USA,59927.92983
Uruguay,URY,16437.24487
Uzbekistan,UZB,1826.56704
Vanuatu,VUT,2976.107116
"Venezuela, RB",VEN,0
Vietnam,VNM,2365.621666
Virgin Islands (U.S.),VIR,35938.02439
West Bank and Gaza,PSE,3254.485887
"Yemen, Rep.",YEM,963.494721
Zambia,ZMB,1534.865371
Zimbabwe,ZWE,1602.403507
